Zeit;Verbrauch
2014-12-13 00:00:00;0,0
2014-12-13 01:00:00;0,0
2014-12-13 02:00:00;0,0
2014-12-13 03:00:00;0,0
2014-12-13 04:00:00;0,0
2014-12-13 05:00:00;0,0
2014-12-13 06:00:00;0,0
2014-12-13 07:00:00;0,0
2014-12-13 08:00:00;0,0
2014-12-13 09:00:00;0,549
2014-12-13 10:00:00;0,608
2014-12-13 11:00:00;0,588
2014-12-13 12:00:00;0,503
2014-12-13 13:00:00;0,447
2014-12-13 14:00:00;0,463
2014-12-13 15:00:00;0,519
2014-12-13 16:00:00;0,524
2014-12-13 17:00:00;0,473
2014-12-13 18:00:00;0,347
2014-12-13 19:00:00;0,0
2014-12-13 20:00:00;0,0
2014-12-13 21:00:00;0,0
2014-12-13 22:00:00;0,0
2014-12-13 23:00:00;0,0
