Datum;Kostal
2023-11-01;0,022
2023-11-02;0,011
2023-11-03;0,014
2023-11-04;0,034
2023-11-05;0,035
2023-11-06;0,018
2023-11-07;0,028
2023-11-08;0,008
2023-11-09;0,025
2023-11-10;0,032
2023-11-11;0,012
2023-11-12;0,018
2023-11-13;0,014
2023-11-14;0,011
2023-11-15;0,053
2023-11-16;0,022
2023-11-17;0,016
2023-11-18;0,032
2023-11-19;0,045
2023-11-20;0,029
2023-11-21;0,033
2023-11-22;0,03
2023-11-23;0,012
2023-11-24;0,085
2023-11-25;0,047
2023-11-27;0,009
2023-11-28;0,048
2023-11-29;0,022
2023-11-30;0,027
